"filename", "language", "JSON with Comments", "JSON", "CSS", "TypeScript", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\Escritorio\DesarrollodeSoftware\qr-reader\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 13, 36
"d:\Escritorio\DesarrollodeSoftware\qr-reader\angular.json", "JSON", 0, 109, 0, 0, 0, 0, 0, 0, 1, 110
"d:\Escritorio\DesarrollodeSoftware\qr-reader\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 6, 2, 45
"d:\Escritorio\DesarrollodeSoftware\qr-reader\package-lock.json", "JSON", 0, 22718, 0, 0, 0, 0, 0, 0, 1, 22719
"d:\Escritorio\DesarrollodeSoftware\qr-reader\package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\Servicios\Conexion.service.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 12, 85
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\Servicios\DatosLocales.service.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 13, 52
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\Servicios\EscanearQR.service.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 9, 62
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\Servicios\FirestoreListas.service.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 20, 99
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\app.component.css", "CSS", 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\app.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 8, 21
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\app.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\app.module.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 7, 61
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\camara\camara.component.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\camara\camara.component.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\camara\camara.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\camara\camara.component.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 14, 97
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\configuracion\configuracion.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\configuracion\configuracion.component.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 0, 5, 86
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\configuracion\configuracion.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\configuracion\configuracion.component.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 11, 56
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\listas\listas.component.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\listas\listas.component.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\listas\listas.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\listas\listas.component.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 12, 57
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\menu\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\menu\menu.component.css", "CSS", 0, 0, 121, 0, 0, 0, 0, 0, 28, 149
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\menu\menu.component.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\menu\menu.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\app\menu\menu.component.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\environments\environment.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 11, 3, 26
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 47, 6, 54
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\proxy.conf.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Escritorio\DesarrollodeSoftware\qr-reader\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 5, 27
"d:\Escritorio\DesarrollodeSoftware\qr-reader\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\Escritorio\DesarrollodeSoftware\qr-reader\tsconfig.json", "JSON with Comments", 31, 0, 0, 0, 0, 0, 0, 1, 1, 33
"d:\Escritorio\DesarrollodeSoftware\qr-reader\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 31, 22914, 187, 676, 180, 23, 37, 72, 246, 24366